Categoria,Producto,Precio
Agua,"ESMIAGUA Agua mineral botella de 1,5 L, pack de 6 uds.",1.8
Agua,"TELENO Agua mineral pack de 6 uds. x 1,5 l.",2.11
Agua,"BEZOYA Agua mineral pack de 6 uds. x 1,5 l.",4.2
Agua,"FONT VELLA Agua mineral pack de 6 uds. x 1,5 l.",4.02
Aceites,SUROLIVA Aceite de oliva virgen extra garrafa 5 l .,20.45
Aceites,MAESTROS DE HOJIBLANCA Aceite de oliva virgen extra garrafa de 5 l.,32.25
Aceites,PRODUCTO ALCAMPO Aceite de oliva virgen extra botella 1 l,4.94
Aceites,CARBONELL Aceite de oliva virgen extra botella de 1 l.,7.2
Aceites,PRODUCTO ALCAMPO Aceite de oliva virgen extra botella de cristal de 750 ml.,4.79
Aceites,CARBONELL Gran Selección Aceite de oliva virgen extra botella de cristal de 750 ml.,6.42
Aceites,PRODUCTO ALCAMPO Aceite de girasol garrafa de 5 l,8.29
Aceites,KOIPESOL Aceite de girasol garrafa de 5 l.,12.77
Aceites,CARBONELL Aceite de oliva suave botella 1 l.,4.59
Aceites,COOSUR Aceite de oliva virgen extra Hojiblanca botella de 1 l.,5.98
Aceites,COOSUR Aceite de oliva virgen extra Picual intenso botella de 1 l.,5.98
Aceites,CARBONELL Aceite de oliva suave garrafa de 5 l.,19.95
Aceites,COOSUR Aceite de oliva virgen extra Arbequina botella de 1 l.,5.98
Aceites,COOSUR Aceite de oliva virgen extra 5 l.,23.96
Aceites,COOSUR Aceite de oliva virgen extra cornicabra botella de 1 l.,5.98
Aceites,COOSUR Aceite de oliva virgen cocina Mediterránea garrafa de 5 l.,22.87
Aceites,CARBONELL Aceite oliva 5l,19.95
Aceites,COOSUR Selección Aceite de oliva virgen extra (AOVE) spray 400 ml,3.37
Aceites,COOSUR Aceite de oliva suave botella de 1 l.,4.64
Aceites,CARBONEL SABOR Aceite de oliva intenso botella 1 l.,4.59
Aceites,COOSUR Aceite de oliva intenso botella de 1 l.,4.64
Aceites,COOSUR Aceite de oliva virgen extra botella de 1 l.,5.99
Aceites,COOSUR Aceite de oliva virgen extra sin filtrar 3L,19.46
Aceites,COOSUR Aceite de oliva virgen extra pet coosur 250 ml.,2.02
Aceites,CARBONELL Extra suave Aceite de oliva 1 l.,4.59
Aceites,COOSUR Aceite oliva virgen extra gran selección 750 ml,5.06
Aceites,COOSUR Aceite de oliva virgen cocina Mediterránea botella de 1 l.,5.24
Aceites,COOSOL Aceite de semillas botella 1 l.,2.25
Aceites,COOSUR Aceite de oliva virgen extra salteo 620 ml.,3.27
Aceites,KOIPE Aceite refinado de 5 semillas 750 ml.,2.42
Aceites,PRODUCTO ALCAMPO Aceite de girasol botella de 1 l.,1.75
Aceites,PRODUCTO ALCAMPO Aceite de oliva suave botella 1 l.,4.09
Aceites,LA MASIA Aceite de Girasol botella 1 l.,1.99
Aceites,LA MASÍA Aceite de Oliva suave botella 1 l,4.78
Aceites,SAETA Aceite de oliva suave 1 l.,3.69
Aceites,KOIPESOL Aceite de girasol botella de 1 l.,2.84
Aceites,CEXASOL Girasol 1 l.,1.73
Aceites,LA MASÍA Aceite de oliva Virgen Extra garrafa 5 l.,28.99
Aceites,PRODUCTO ALCAMPO Aceite de oliva suave garrafa de 5 l.,19.74
Aceites,LA MASÍA Aceite de Oliva intenso botella 1 l.,4.78
Aceites,CARBONELL Aceite de oliva virgen extra spray 200 ml.,2.94
Aceites,YBARRA Aceite de Oliva Suave botella 1 l.,4.27
Aceites,LA ESPAÑOLA Aceite de oliva suave botella 1 l.,5.88
Aceites,CARBONELL Aceite de oliva spray especial plancha Sabor bote de 200 ml.,2.56
Aceites,PRODUCTO ALCAMPO Aceite de oliva intenso botella de 1 l.,4.34
Aceites,PRODUCTO ALCAMPO Aceite de oliva virgen de origen español botella 1 l.,4.44
FrutasVerduras,Banana a granel.,1.0
FrutasVerduras,Manzanas gala 1 kg.,1.19
FrutasVerduras,Plátano Canario IGP extra bolsa.,2.08
FrutasVerduras,Pomelo rojo a granel,1.95
FrutasVerduras,"ZESPRI Kiwi Sungold bandeja 600 g,",4.99
FrutasVerduras,Aguacates a granel,3.35
FrutasVerduras,ALCAMPO CULTIVAMOS LO BUENO Mandarina IGP barqueta 1 kg.,2.59
FrutasVerduras,Manzanas golden a granel,1.92
FrutasVerduras,"TORRES Naranjas malla 1,5 kg.",2.99
FrutasVerduras,AUCHAN BIO Limones ecológicos Malla ALCAMPO CULTIVAMOS LO BUENO ECOLÓGICO 600 g.,1.99
FrutasVerduras,Manzana Fuji a granel,2.69
FrutasVerduras,Manzana Granny Smith a granel,2.19
FrutasVerduras,Fresón tarrina de 500 g.,4.74
FrutasVerduras,Limones 750 g.,1.99
FrutasVerduras,"ALCAMPO CULTIVAMOS LO BUENO Naranja, malla 2 kg.",2.89
FrutasVerduras,ALCAMPO CULTIVAMOS LO BUENO Mandarina a granel.,2.45
FrutasVerduras,Calabacines a granel.,2.65
FrutasVerduras,"Uvas blancas sin pepitas, cesta 500 g.",2.49
FrutasVerduras,Mangos a granel.,1.98
FrutasVerduras,Pera conferencia a granel,1.99
FrutasVerduras,"Arándanos, tarrina de 170 g.",2.59
FrutasVerduras,Tomate ensalada a granel.,1.89
FrutasVerduras,"ALCAMPO CULTIVAMOS LO BUENO Naranja, malla 4 kg.",4.59
FrutasVerduras,Manzana lavada y cortada FLORETTE 80 gramos,0.94
FrutasVerduras,Smoothie antioxidante INNOCENT 300 ml.,2.89
FrutasVerduras,Smoothie energía INNOCENT 300 ml.,2.89
FrutasVerduras,Smoothie recarga INNOCENT 300 ml.,2.89
FrutasVerduras,Patata blanca a granel.,1.84
FrutasVerduras,Tomate rama a granel,2.28
FrutasVerduras,Aguacate malla de 500 g.,2.29
FrutasVerduras,Batata a granel.,2.29
FrutasVerduras,Tomate pera a granel.,1.98
FrutasVerduras,ALCAMPO CULTIVAMOS LO BUENO Limón malla de 1 kg.,2.19
FrutasVerduras,ALCAMPO CULTIVAMOS LO BUENO Naranja a granel.,1.89
FrutasVerduras,Calabaza entera,1.2
FrutasVerduras,Caqui a granel.,2.0
FrutasVerduras,Mandarinas malla 1 kg,1.79
FrutasVerduras,ALCAMPO CULTIVAMOS LO BUENO Plátano de Canarias (Indicación Geográfica Protegida) bandeja 700 g.,2.69
FrutasVerduras,Manzanas Golden 1 kg.,1.79
FrutasVerduras,Tomate rosado a granel.,2.99
FrutasVerduras,Pimientos rojos a granel,3.89
FrutasVerduras,"ALCAMPO CULTIVAMOS LO BUENO Mandarinas, malla 1,5 kg.",3.75
FrutasVerduras,Tomate cherry pera tarrina de 250 g.,1.0
FrutasVerduras,Tomate cherry bandeja de 250 g,1.0
FrutasVerduras,"FRESQUIA Pepinos snack, bandeja 250 g.",1.0
FrutasVerduras,Puerros manojo,1.68
FrutasVerduras,ALCAMPO CULTIVAMOS LO BUENO Champiñones Portobello 250 g.,1.49
FrutasVerduras,"AUCHAN Brotes selectos de espinaca, rúcula y lechuga roja 70 g. Producto Alcampo",1.0
FrutasVerduras,AUCHAN Acelgas 300 g. Producto Alcampo,0.89
FrutasVerduras,AUCHAN Tomate rallado natural 230 g Producto Alcampo.,1.0
