categoria,ID producto,producto,precio
Aceites,4961,"aceite de oliva 0,4º botella",5.45
Aceites,7517,aceite de oliva intenso,5.95
Aceites,8258,aceite oliva virgen extra botella,7.79
Aceites,9534,aceite de oliva virgen extra,8.45
Aceites,10219,aceite de oliva virgen extra gran selección,9.27
Aceites,10343,aceite de oliva intenso sumun,4.79
Aceites,11034,aceite de oliva virgen botella,4.28
Aceites,11035,aceite de oliva virgen botella,5.38
Aceites,11036,aceite de oliva virgen extra cristal,7.93
Aceites,11369,aceite oliva virgen extra botella,4.95
Aceites,13342,aceite de oliva virgen botella,4.45
Aceites,14186,aceite oliva virgen extra primera cosecha,10.5
Aceites,14480,aceite de oliva virgen extra,4.85
Aceites,15301,aceite de oliva virgen extra,15.88
Aceites,15627,aceite de girasol botella,1.75
Aceites,15691,aceite de oliva suave,4.1
Aceites,15767,aceite de girasol botella,1.69
Aceites,15820,aceite de oliva intenso,4.35
Aceites,15939,aceite de oliva virgen,5.95
Aceites,17032,aceite de orujo botella,3.39
Aceites,17164,aceite de girasol alto oleico,2.25
Aceites,18706,aceite de oliva virgen extra ecológico,9.5
Aceites,20591,aceite de aguacate cristal,9.4
Aceites,26073,aceite de girasol botella,2.95
Aceites,28786,aceite de oliva virgen extra igp jaén,10.7
Aceites,29403,aceite de oliva virgen extra arbequina,9.7
Aceites,29933,aceite de oliva virgen extra hojiblanca,6.99
Aceites,29995,aceite de coco virgen extra ecológico,15.11
Aceites,31031,aceite de oliva virgen extra,6.32
Aceites,31853,aceite de oliva virgen extra cristal,9.4
Aceites,31955,aceite de oliva virgen extra,7.3
Aceites,32032,aceite de oliva virgen extra cristal,11.6
Aceites,32033,aceite de oliva virgen extra,6.45
Aceites,32301,aceite de oliva intenso,4.23
Aceites,32302,aceite de oliva suave,4.03
Aceites,32657,aceite oliva virgen extra ecológico,8.9
Aceites,33558,aceite de oliva sin filtrar,10.36
Aceites,39753,aceite de oliva extra suave,5.95
Aceites,39808,"aceitera aceite de oliva 0,4º",8.67
Aceites,39809,aceite de girasol fritos,2.8
Aceites,39870,aceitera aceite oliva virgen extra,8.67
Aceites,44022,aceite oliva virgen extra guindilla. esencia vidri,13.56
Aceites,44172,aceite de oliva virgen extra,5.99
Aceites,44332,aceite de oliva d.o.p.priego de córdoba,5.95
Aceites,44858,aceite oliva virgen extra nueva cosecha 2025/26,4.79
Aceites,45055,aceite oliva virgen extra verde,11.7
