Categoria,ID Producto,Producto,Precio
Aceites,4241,"Aceite de oliva 0,4º Hacendado",3.95
Aceites,4240,"Aceite de oliva 0,4º Hacendado",4.1
Aceites,4717,Aceite de oliva virgen extra Hacendado,4.85
Aceites,4740,Aceite de oliva virgen extra Hacendado,4.95
Aceites,4706,Aceite de oliva virgen extra Hacendado Gran Selección,7.934
Aceites,4641,Aceite de oliva 1º Hacendado,4.17
Aceites,4640,Aceite de oliva 1º Hacendado,4.35
Aceites,4711,Aceite de oliva virgen Hacendado,4.284
Aceites,4749,Aceite de oliva virgen Hacendado,4.45
Aceites,4718,Aceite de oliva virgen extra Hacendado,14
Aceites,4850,Aceite de oliva virgen extra Picual Casa Juncal,9.9
Aceites,4041,"Aceite de girasol refinado 0,2º Hacendado",1.69
Aceites,4040,"Aceite de girasol refinado 0,2º Hacendado",1.75
Aceites,4193,Aceite de coco virgen Hacendado,12.112
Aguas,28035,Agua mineral grande Bronchales,0.214
Aguas,23448,Agua mineral grande Bronchales,0.26
Aguas,23449,Agua mineral grande Bronchales,0.26
Aguas,28491,Agua mineral mediana Bronchales,0.5
Aguas,28499,Agua mineral mediana Bronchales,0.5
Aguas,27061,Agua mineral pequeña Bronchales,0.58
Aguas,27054,Agua mineral pequeña Bronchales,0.58
Aguas,28566,Agua mineral pequeña Bronchales tapón infantil,1.213
Aguas,28567,Agua mineral pequeña Bronchales tapón infantil,1.213
Aguas,28060,Agua mineral grande Cortes,0.115
Aguas,27088,Agua mineral grande Cortes,0.132
Aguas,28269,Agua mineral grande Cortes,0.167
Aguas,28270,Agua mineral grande Cortes,0.167
Aguas,28163,Agua mineral mediana Cortes,0.4
Aguas,28164,Agua mineral mediana Cortes,0.4
Aguas,27076,Agua mineral pequeña Cortes,0.48
Aguas,27078,Agua mineral pequeña Cortes,0.48
Aguas,28288,Agua mineral pequeña Cortes tapón infantil,0.788
Aguas,28296,Agua mineral pequeña Cortes tapón infantil,0.788
Aguas,27314,Agua mineral grande Bezoya,0.5
Aguas,27230,Agua mineral grande Bezoya,0.5
